Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2018,87227,66547,KS,Manhattan,Pottawatomie,Wamego,9319,183500,-0.001632209,0.001637555,0.011576626,0.041556548,0.021733035,2018-06,2018-Q2,184000,-0.002717391,2018-06
8/31/2018,63520,14428,NY,Rochester,Monroe,Riga,9320,161000,-0.006785935,-0.011663597,-0.079473985,0.026337671,0.016072878,2016-08,2016-Q3,183600,-0.123093682,2016-01
8/31/2018,70952,30187,GA,Atlanta-Sandy Springs-Roswell,Douglas,Winston,9321,186700,0,0.009189189,0.134264885,0.095870827,0.016336599,2018-08,2018-Q3,186700,0,2018-08
8/31/2018,60811,7821,NJ,New York-Newark-Jersey City,Sussex,Byram,9322,282100,-0.001062323,0.001064585,0.085417468,0.02058843,-0.011012901,2006-10,2006-Q4,371500,-0.24064603,2004-02
8/31/2018,81486,53925,WI,Madison,Columbia,Columbus,9323,182600,-0.003818876,0.008839779,0.050028752,0.054613043,0.015192728,2018-07,2018-Q3,183300,-0.003818876,2018-07
8/31/2018,88001,68434,NE,Lincoln,Seward,Seward,9324,176100,-0.000567537,-0.00113443,0.033450704,0.044131967,0.02746807,2018-06,2018-Q2,176600,-0.002831257,2018-05
8/31/2018,61970,10992,NY,New York-Newark-Jersey City,Orange,Washingtonville,9325,279500,0,0.00684438,0.065980168,0.036722043,-0.009794606,2006-09,2006-Q3,351200,-0.204157175,2003-10
8/31/2018,79691,49323,MI,Holland,Allegan,Dorr,9326,186800,-0.001603421,-0.003201708,0.034330011,0.066461543,0.032316511,2018-06,2018-Q2,187500,-0.003733333,2018-03
8/31/2018,63954,15223,PA,Pittsburgh,Allegheny,Shaler,9327,125800,-0.000794281,0.009630819,0.177902622,0.075653757,0.040025765,2018-07,2018-Q3,125900,-0.000794281,2018-07
8/31/2018,88672,70555,LA,Lafayette,Vermilion,Maurice,9328,140700,-0.001419446,0.008602151,-0.018828452,0.022314947,0.005795301,2017-12,2017-Q4,147500,-0.046101695,2017-02
8/31/2018,99669,98260,WA,Oak Harbor,Island,Langley,9329,487000,-0.001435309,0.01585315,0.119282923,0.082262603,0.011798699,2018-07,2018-Q3,487700,-0.001435309,2018-07
8/31/2018,92251,78101,TX,San Antonio-New Braunfels,Wilson,Floresville,9330,257300,0,0.00351014,0.037918516,0.06647871,0.034324259,2018-08,2018-Q3,257300,0,2018-08
8/31/2018,59193,3773,NH,Claremont-Lebanon,Sullivan,Newport,9331,158900,0,0,0.02516129,0.033727109,-0.002175011,2006-05,2006-Q2,170500,-0.068035191,2005-04
8/31/2018,79997,49866,MI,Marquette,Marquette,Negaunee,9332,131800,-0.00075815,0.004573171,0.04354711,0.071172998,0.050828368,2018-02,2018-Q1,132700,-0.006782216,2018-02
8/31/2018,98106,95322,CA,Merced,Merced,Gustine,9333,257000,0.001168679,0.002731174,0.057613169,0.141505267,0.038762197,2006-04,2006-Q2,351100,-0.268014811,2004-09
8/31/2018,87247,66617,KS,Topeka,Shawnee,Topeka,9334,159600,0.000626959,0.013333333,0.013977128,0.023932508,0.015460288,2018-08,2018-Q3,159600,0,2018-08
8/31/2018,84500,60449,IL,Chicago-Naperville-Elgin,Will,Monee,9335,190900,-0.003133159,-0.011393061,0.04089422,0.04133859,-0.010382202,2006-07,2006-Q3,231300,-0.174664937,2004-11
8/31/2018,80820,52057,IA,,Delaware,Manchester,9336,137600,0,0.000727273,0.065840434,0.049013148,0.035444362,2018-08,2018-Q3,137600,0,2018-08
8/31/2018,84537,60501,IL,Chicago-Naperville-Elgin,Cook,Summit,9337,163800,-0.001828154,0.000610874,0.065019506,0.069479744,-0.02104582,2006-07,2006-Q3,231300,-0.291828794,2003-10
8/31/2018,80729,51534,IA,Omaha-Council Bluffs,Mills,Glenwood,9338,174300,0,-0.005136986,0.02892562,0.034590053,0.019172519,2018-04,2018-Q2,175500,-0.006837607,2018-03
8/31/2018,64974,17236,PA,Chambersburg-Waynesboro,Franklin,Montgomery,9339,159900,-0.003117207,0.002507837,0.035621762,0.021381137,-0.002840923,2004-01,2004-Q1,415100,-0.614791616,
8/31/2018,64153,15537,PA,,Bedford,Everett,9340,124500,0.002415459,0.005654281,0.041841004,0.014339748,0.007846443,2018-08,2018-Q3,124500,0,2018-08
8/31/2018,69187,27041,NC,Mount Airy,Surry,Pilot Mountain,9341,132200,0.00227445,0.00227445,0.009160305,0.02051018,0.002136506,2017-06,2017-Q2,133300,-0.008252063,2017-05
8/31/2018,76949,44028,OH,Cleveland-Elyria,Lorain,Grafton,9342,206200,0.003406326,0.014264634,0.113992437,0.068022124,,2018-08,2018-Q3,206200,0,2018-08
8/31/2018,69445,27605,NC,Raleigh,Wake,Raleigh,9343,560000,-0.001782531,0.005927789,0.049671978,0.062649472,0.028800789,2018-07,2018-Q3,561000,-0.001782531,2018-07
8/31/2018,72852,33841,FL,Lakeland-Winter Haven,Polk,Fort Meade,9344,94900,0.002111932,0.014973262,0.232467532,0.148940084,-0.000210062,2007-09,2007-Q3,107600,-0.11802974,2006-10
8/31/2018,58942,2857,RI,Providence-Warwick,Providence,Scituate,9345,305500,-0.003262643,0.000982962,0.07042747,0.057796062,0.009299319,2006-04,2006-Q2,347300,-0.12035704,2004-09
8/31/2018,82837,56387,MN,St. Cloud,Stearns,Waite Park,9346,155200,0.001290323,0.003880983,0.019041366,0.042961823,0.008302334,2006-02,2006-Q1,182800,-0.150984683,2003-04
8/31/2018,80292,50321,IA,Des Moines-West Des Moines,Polk,Des Moines,9347,240400,-0.00290336,-0.001246365,0.113478462,0.060995128,0.028560206,2018-06,2018-Q2,241200,-0.00331675,2018-05
8/31/2018,65559,18644,PA,Scranton--Wilkes-Barre--Hazleton,Luzerne,West Wyoming,9348,123800,0.001618123,0.007323027,0.04649197,0.021185551,0.003547198,2018-08,2018-Q3,123800,0,2018-08
8/31/2018,75361,39573,MS,,Stone,Perkinston,9349,130800,0.001531394,0.024275646,0.079207921,0.017724396,,2010-07,2010-Q3,153300,-0.146771037,
8/31/2018,82847,56425,MN,Brainerd,Crow Wing,Baxter,9350,203700,0,0.001967536,0.003942829,0.058705122,0.023522954,2017-12,2017-Q4,204300,-0.002936858,2017-10
8/31/2018,86883,65625,MO,,Barry,Cassville,9351,117500,-0.00085034,0.005132592,0.044444444,0.077235283,0.028865395,2018-07,2018-Q3,117600,-0.00085034,2018-07
8/31/2018,65222,17857,PA,Sunbury,Northumberland,Point,9352,133100,-0.000750751,-0.007457122,0.031782946,0.03172281,0.024695805,2018-05,2018-Q2,134100,-0.007457122,2018-02
